                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1523.5,                 1.2239,                 3.5891,                 1723.4,                0.01904,                0.60278,                0.09014,                0.06793,                0.02448,                0.68611,                0.10916,                0.07345,                 1424.3,                 1.4479,                 3.5236,                 1362.9,               0.007426,               0.007426,               0.007426
                     54,                 1595.4,                 1.1899,                 3.6455,                 1750.5,                0.01926,                0.60556,                0.09274,                0.07147,                0.02435,                0.68333,                0.11123,                0.07426,                 1441.9,                 1.4398,                  3.509,                 1355.2,              0.0073765,              0.0073765,              0.0073765
                     55,                 1608.5,                 1.1883,                 3.6091,                 1823.3,                0.01867,                    0.6,                0.09878,                0.08109,                 0.0235,                  0.675,                0.11443,                0.07646,                 1491.2,                 1.4444,                 3.5059,                 1366.9,               0.007327,               0.007327,               0.007327
                     56,                 1519.4,                 1.2076,                 3.6156,                 1673.2,                0.01949,                  0.625,                0.09859,                0.08309,                0.02365,                0.68889,                0.11191,                0.07433,                 1325.5,                 1.4432,                  3.431,                 1350.7,              0.0072775,              0.0072775,              0.0072775
                     57,                 1418.3,                 1.1969,                    3.6,                 1625.5,                0.01856,                0.63333,                0.09497,                0.07934,                 0.0229,                0.70278,                0.10898,                 0.0726,                 1331.8,                 1.4224,                 3.4352,                 1347.5,               0.007228,               0.007228,               0.007228
                     58,                 1616.6,                 1.2072,                 3.6036,                 1840.9,                0.01823,                    0.6,                0.11124,                0.09063,                0.02239,                0.66667,                0.12503,                0.08421,                 1505.1,                 1.4865,                 3.4386,                 1377.5,              0.0071785,              0.0071785,              0.0071785
                     59,                 1386.7,                 1.1651,                  3.595,                 1659.2,                0.01812,                0.59722,                0.12794,                0.10232,                0.02266,                0.66944,                0.14313,                0.09854,                 1531.4,                  1.478,                 3.4635,                 1379.7,               0.007129,               0.007129,               0.007129
                     60,                 1397.9,                 1.1738,                 3.5724,                   1625,                0.01818,                0.61389,                0.12128,                0.10084,                0.02217,                0.67778,                 0.1358,                0.09108,                 1221.8,                 1.3921,                 3.4228,                 1331.8,              0.0070795,              0.0070795,              0.0070795
                     61,                 1374.7,                 1.1624,                  3.575,                 1694.9,                0.01768,                0.60833,                0.12137,                 0.0981,                 0.0218,                  0.675,                 0.1336,                0.09028,                 1268.6,                 1.3734,                 3.4496,                 1335.4,                0.00703,                0.00703,                0.00703
                     62,                 1453.2,                 1.1671,                 3.5539,                 1685.9,                 0.0185,                0.62222,                0.11345,                0.09202,                0.02243,                0.68611,                0.12546,                0.08493,                   1432,                 1.4571,                 3.4054,                 1363.6,              0.0069805,              0.0069805,              0.0069805
                     63,                 1425.8,                 1.1527,                 3.5629,                   1675,                0.01934,                0.64722,                0.10775,                0.08209,                0.02297,                0.70556,                0.11953,                0.07893,                 1554.1,                 1.4527,                 3.4621,                 1376.1,               0.006931,               0.006931,               0.006931
                     64,                 1414.7,                 1.1423,                 3.6036,                 1690.9,                0.01886,                0.65278,                0.11903,                0.09654,                0.02321,                0.72222,                0.13122,                0.08944,                 1259.7,                 1.3823,                 3.4214,                 1331.7,              0.0068815,              0.0068815,              0.0068815
                     65,                 1441.2,                 1.1347,                 3.5702,                   1684,                0.01945,                0.66111,                0.11535,                 0.0933,                 0.0231,                0.71944,                0.12694,                0.08598,                 1221.4,                 1.3791,                 3.4333,                 1327.8,               0.006832,               0.006832,               0.006832
                     66,                 1524.9,                 1.1545,                 3.5968,                 1769.4,                0.02057,                  0.675,                0.09554,                0.07856,                0.02428,                0.73333,                0.10939,                0.07383,                 1448.9,                 1.4613,                 3.4049,                 1367.5,              0.0067825,              0.0067825,              0.0067825
                     67,                 1396.1,                 1.1561,                  3.533,                 1734.2,                 0.0211,                0.69722,                0.09407,                0.07156,                0.02428,                0.74722,                0.10714,                0.07059,                 1452.8,                 1.4555,                 3.4462,                 1365.3,               0.006733,               0.006733,               0.006733
                     68,                 1478.5,                 1.1318,                 3.5901,                 1760.7,                0.02035,                0.66389,                0.11086,                0.09133,                0.02396,                0.72222,                0.12426,                0.08428,                   1299,                 1.3826,                 3.4188,                 1333.3,              0.0066835,              0.0066835,              0.0066835
                     69,                 1297.2,                 1.1385,                 3.5273,                   1614,                0.02048,                   0.65,                0.11193,                 0.0895,                0.02412,                0.70833,                0.12541,                0.08466,                 1321.7,                 1.3957,                 3.4265,                 1337.4,               0.006634,               0.006634,               0.006634
                     70,                 1361.9,                 1.1373,                 3.5634,                 1718.2,                0.02065,                0.67778,                0.10061,                0.08242,                0.02417,                0.73333,                0.11316,                0.07348,                 1505.1,                 1.4566,                 3.4145,                 1370.7,              0.0065845,              0.0065845,              0.0065845
                     71,                 1382.9,                 1.1232,                 3.5463,                 1685.2,                0.02016,                0.65556,                0.10372,                0.08307,                0.02403,                0.71667,                0.11471,                0.07292,                 1457.9,                 1.4472,                 3.4333,                 1361.3,               0.006535,               0.006535,               0.006535
                     72,                 1409.2,                 1.1172,                 3.5493,                 1736.9,                0.01931,                0.63333,                0.11762,                0.09742,                0.02361,                0.70278,                0.13061,                 0.0872,                 1297.6,                 1.3916,                 3.4158,                 1333.8,              0.0064855,              0.0064855,              0.0064855
                     73,                 1484.7,                 1.1316,                 3.5621,                 1806.4,                0.01928,                0.63333,                0.12512,                0.10344,                0.02325,                0.69722,                0.13665,                0.09261,                 1341.5,                 1.3941,                 3.4152,                 1338.3,               0.006436,               0.006436,               0.006436
                     74,                 1449.1,                 1.1241,                  3.569,                 1759.4,                0.01916,                0.63333,                0.12284,                0.10426,                0.02257,                0.68889,                0.13242,                0.08727,                 1357.8,                 1.4056,                 3.4314,                 1346.9,              0.0063865,              0.0063865,              0.0063865
                     75,                   1337,                 1.1191,                 3.5602,                 1693.6,                0.01876,                    0.6,                0.12784,                0.10778,                0.02182,                   0.65,                0.13782,                0.09046,                 1334.4,                 1.4087,                 3.4272,                 1342.7,               0.006337,               0.006337,               0.006337
                     76,                 1217.2,                 1.1023,                 3.5199,                 1612.4,                0.01892,                0.60278,                0.13588,                0.11407,                0.02164,                0.64722,                0.14589,                 0.0962,                   1371,                 1.4034,                 3.4186,                 1343.5,              0.0062875,              0.0062875,              0.0062875
                     77,                 1389.5,                 1.1342,                 3.5589,                 1806.3,                  0.019,                0.60556,                0.12582,                0.10498,                0.02186,                0.65278,                0.13566,                0.08953,                   1410,                 1.3945,                 3.4421,                 1348.1,               0.006238,               0.006238,               0.006238
                     78,                 1283.6,                 1.1247,                 3.5679,                 1651.5,                0.01895,                0.60556,                0.12148,                0.10255,                0.02163,                   0.65,                0.12947,                0.08589,                 1320.8,                  1.376,                 3.3951,                 1343.8,              0.0061885,              0.0061885,              0.0061885
                     79,                 1432.4,                 1.1329,                 3.5675,                 1777.1,                0.01935,                0.62222,                0.10682,                0.09257,                0.02242,                0.67222,                0.11546,                0.07703,                 1303.8,                 1.3546,                 3.4164,                 1339.2,               0.006139,               0.006139,               0.006139
                     80,                 1356.5,                 1.1066,                 3.5618,                 1759.7,                0.01931,                0.60833,                0.10651,                0.09188,                0.02186,                   0.65,                0.11588,                0.07775,                   1397,                 1.3761,                 3.4017,                 1352.1,              0.0060895,              0.0060895,              0.0060895
                     81,                 1231.5,                 1.0913,                 3.5243,                 1653.9,                 0.0194,                0.60833,                0.10304,                0.08616,                0.02265,                0.66111,                0.11394,                0.07787,                 1399.3,                 1.3743,                 3.4304,                 1347.4,                0.00604,                0.00604,                0.00604
                     82,                 1358.5,                 1.1387,                 3.5641,                 1695.4,                0.02006,                   0.65,                0.09982,                0.08435,                0.02259,                0.69167,                 0.1076,                 0.0697,                 1324.8,                 1.3715,                 3.4031,                 1342.8,              0.0059905,              0.0059905,              0.0059905
                     83,                 1214.4,                 1.0807,                  3.529,                 1624.3,                0.01984,                0.63056,                0.11458,                0.09697,                 0.0224,                0.67222,                0.12178,                0.08003,                 1360.3,                 1.3629,                  3.411,                 1346.1,               0.005941,               0.005941,               0.005941
                     84,                 1332.7,                 1.1039,                 3.5412,                 1775.5,                0.01958,                0.64167,                0.12096,                0.10219,                0.02246,                0.68889,                0.13034,                0.09051,                   1269,                 1.3336,                 3.3877,                 1331.9,              0.0058915,              0.0058915,              0.0058915
                     85,                 1247.8,                  1.078,                 3.5294,                 1686.4,                0.01885,                0.63056,                0.13226,                0.11223,                0.02257,                0.69167,                0.14214,                0.10071,                 1312.2,                 1.3313,                 3.3975,                 1337.2,               0.005842,               0.005842,               0.005842
                     86,                 1236.5,                 1.0756,                 3.5377,                 1682.2,                0.01911,                0.63611,                0.13343,                0.11074,                0.02197,                0.68333,                 0.1404,                0.09808,                 1349.8,                 1.3414,                 3.3976,                 1347.5,              0.0057925,              0.0057925,              0.0057925
                     87,                 1343.2,                  1.101,                 3.5703,                 1740.1,                0.01856,                0.61389,                0.13053,                0.10965,                0.02192,                0.66944,                0.13828,                0.09464,                 1321.9,                 1.3366,                 3.4135,                 1345.7,               0.005743,               0.005743,               0.005743
                     88,                 1186.3,                  1.096,                 3.5181,                 1652.8,                0.01943,                0.63611,                0.12458,                0.10514,                0.02236,                0.68333,                0.13364,                0.09289,                 1317.6,                 1.3284,                  3.403,                 1339.3,              0.0056935,              0.0056935,              0.0056935
