epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,134.598,0.45669,0.52173,0.34592,0.78842,0.99602,1,0.995,0.89921,0.99602,1,0.995,0.81618,0.71017,1.22051,0.35244,0.84672,0.000955072,0.000955072,0.000955072
69,136.634,0.44153,0.51124,0.34482,0.79691,0.99515,1,0.995,0.89908,0.99515,1,0.995,0.81575,0.7117,1.21556,0.35533,0.8485,0.000947999,0.000947999,0.000947999
70,138.641,0.45524,0.52597,0.35295,0.79061,0.99541,1,0.995,0.89628,0.99541,1,0.995,0.80643,0.72229,1.32287,0.35266,0.85101,0.000940925,0.000940925,0.000940925
71,140.62,0.44044,0.51138,0.34099,0.79656,0.99543,1,0.995,0.8969,0.99543,1,0.995,0.80789,0.73386,1.35311,0.34724,0.85297,0.000933851,0.000933851,0.000933851
72,142.675,0.42599,0.48951,0.34169,0.79457,0.99527,0.99893,0.995,0.89414,0.99527,0.99893,0.995,0.81005,0.71791,1.23701,0.34298,0.84763,0.000926778,0.000926778,0.000926778
73,144.672,0.44388,0.53809,0.33801,0.80186,0.98895,0.9997,0.995,0.89481,0.98895,0.9997,0.995,0.80975,0.72724,1.28221,0.35423,0.85111,0.000919704,0.000919704,0.000919704
74,146.672,0.42378,0.49156,0.33132,0.79151,0.99483,1,0.995,0.88759,0.99483,1,0.995,0.80529,0.7185,1.29901,0.34372,0.84975,0.000912631,0.000912631,0.000912631
75,148.635,0.4325,0.48518,0.33037,0.79484,0.99584,1,0.995,0.8934,0.99584,1,0.995,0.80789,0.7244,1.40579,0.34213,0.8504,0.000905557,0.000905557,0.000905557
76,150.75,0.42495,0.48607,0.33245,0.79444,0.99619,1,0.995,0.89545,0.99619,1,0.995,0.79882,0.71503,1.47724,0.3453,0.84717,0.000898484,0.000898484,0.000898484
77,152.769,0.42948,0.49265,0.34267,0.79342,0.99617,1,0.995,0.90078,0.99617,1,0.995,0.81009,0.70214,1.38352,0.34332,0.84446,0.00089141,0.00089141,0.00089141
78,154.775,0.4278,0.49821,0.33157,0.79409,0.99568,1,0.995,0.89421,0.99568,1,0.995,0.80822,0.70408,1.20524,0.36798,0.84431,0.000884337,0.000884337,0.000884337
79,156.757,0.43781,0.55499,0.33216,0.79464,0.9954,1,0.995,0.90079,0.9954,1,0.995,0.79843,0.70647,1.12577,0.3559,0.84514,0.000877263,0.000877263,0.000877263
80,158.885,0.42385,0.50487,0.33106,0.78584,0.99563,1,0.995,0.89785,0.99563,1,0.995,0.81139,0.70796,1.13045,0.35485,0.84687,0.00087019,0.00087019,0.00087019
